,0
1161,AMCX
1162,AMH
1163,AOS
1164,ARE
1165,ARRS
1166,ARW
1167,ATO
1168,ATR
1169,AZPN
1170,BG
1171,BLKB
1172,CAVM
1173,CCK
1174,CNA
1175,COLM
1176,COMM
1177,CPT
1178,CSL
1179,CUZ
1180,DFT
1181,DRE
1182,ELS
1183,EME
1184,ERIE
1185,ES_old
1186,FCNCA
1187,FICO
1188,FNB
1189,G
1190,GLPI
1191,GWR
1192,GXP
1193,RLGY
1194,HOMB
1195,HUN
1196,IART
1197,IDXX
1198,IGT
1199,IT
1200,JKHY
1201,LAZ
1202,LSI_old
1203,MBFI
1204,MKSI
1205,MMS
1206,MTZ
1207,NBIX
1208,NFG
1209,NNN
1210,NUAN
1211,OLN
1212,PEGA
1213,PINC
1214,PKG
1215,POOL
1216,RES
1217,RGA
1218,RS
1219,RSPP
1220,SEB
1221,SHO
1222,SNH
1223,STAY
1224,SWX
1225,TFX
1226,UHAL
1227,USG
1228,VMI
1229,WFT_old
1230,WGL
1231,WOOF
1232,WPX
1233,WRI
1234,WTR
1235,WWD
1236,Y
1237,SNAP
1238,AAME
1239,AR
1240,BK
1241,ETSY
1242,EPD
1243,XCO
1244,BERY
1245,EEFT
1246,AFG
1247,MNKD
1248,CSGP
1249,SGEN
1250,ASPN
1251,PRSC
1252,HTH
1253,SYF
1254,RGC
1255,AAXN
1256,BCO
1257,CSLT
1258,STRM
1259,TRHC
1260,OMCL
1261,CATS
1262,ATHN
1263,MDRX
1264,QSII
1265,BABY
1266,MDSO
1267,HSTM
1268,MTBC
1269,INOV
1270,CPSI
1271,BX
1272,AMDA
1273,ARI
1274,UBNT
1275,SMSI
1276,QEP
1277,HUBS
1278,GWW
1279,RYN
1280,OPY
1281,BZH
1282,SNDK
1283,FORR
1284,HRB
1285,MWW
1286,KND
1287,NJR
1288,ALT
1289,SSNT
1290,CODA
1291,NHTC
1292,CLCT
1293,AWRE
1294,PMD
1295,UG
1296,FONR
1297,TMUS
1298,TZOO
1299,UTMD
1300,RMCF
1301,HIBB
1302,RCII
1303,EPM
1304,AJRD
1305,LL
1306,IIN
1307,SFM
1308,FDC
1309,CNVR
1310,SJI
1311,CY
1312,NKTR
1313,TR
1314,GNW
1315,NC
1316,ODP
1317,LGL
1318,AGX
1319,UVE
1320,CDE
1321,TSE
1322,LGIH
1323,CPS
1324,ENDP
1325,OHI
1326,FLO
1327,BRKS
1328,CDI
1329,THS
1330,CGA
1331,PDLI
1332,SPRT
1333,LQDT
1334,CRR
1335,SLCA
1336,TEN
1337,STOR
1338,IDT
1339,HRI
1340,Time
1341,ANET
1342,HYH
1343,CC
1344,HTZ
1345,BJRI
1346,PACW
1347,CHRS
1348,VRX
1349,VER
1350,RAIL
1351,WMAR
1352,FRD
1353,WSTL
1354,ERS
1355,CLNT
1356,GENC
1357,BSPM
1358,SORL
1359,OCN
1360,NTNX
1361,DDD
1362,ABG
1363,DIN
1364,TSQ
1365,Joe
1366,DWDP
1367,CIE
1368,FRPT
1369,COOL
1370,ETEC
1371,RWC
1372,CNND
1373,BRRE
1374,VRS
1375,ROCK
1376,IDCC
1377,MSCI
1378,ETM
1379,ICUI
1380,NAVI
1381,DNOW
1382,MRC
1383,WTW
1384,FRX
1385,CLAR
1386,IPGP
1387,AEIS
1388,ADP
1389,NTGR
1390,AKER
1391,CBSH
1392,DSW
1393,WLB
1394,LCI
1395,PDFS
1396,OA
1397,LEA
1398,INGR
1399,CFMS
1400,TEVA
1401,GMED
1402,NOW
1403,ROKU
1404,WK
1405,CBB
1406,ADES
1407,CIDM
1408,SSTK
1409,FCPT
1410,IPXL
1411,TOWR
1412,ENVA
1413,AVIR
1414,FRGI
1415,BGCP
1416,TRGP
1417,HCHC
1418,JCOM
1419,TVPT
1420,POST
1421,TAST
1422,LDOS_old
1423,HGR
1424,TTMI
1425,IDA
1426,TROX
1427,GPRE
1428,SIGI
1429,TRNC
1430,TRMB
1431,CRZO
1432,HUBB
1433,LSXMA
1434,TGI
1435,MNTM
1436,SGH
1437,REN
1438,FTI
1439,MDR
1440,OII
1441,CMP
