Date,DJUSF
2009-09-11,256.450989
2009-09-14,259.975006
2009-09-15,260.35900899999996
2009-09-16,268.862
2009-09-17,267.64300499999996
2009-09-18,267.46200600000003
2009-09-21,265.08700600000003
2009-09-22,270.786011
2009-09-23,265.255005
2009-09-24,260.378998
2009-09-25,257.806
2009-09-28,266.466003
2009-09-29,264.885986
2009-09-30,263.434998
2009-10-01,252.998993
2009-10-02,252.528
2009-10-05,259.915009
2009-10-06,262.798004
2009-10-07,265.182007
2009-10-08,266.192993
2009-10-09,268.341003
2009-10-12,270.316986
2009-10-13,267.55899
2009-10-14,276.07901
2009-10-15,274.419006
2009-10-16,267.914001
2009-10-19,269.411987
2009-10-20,267.181
2009-10-21,262.44101
2009-10-22,269.42199700000003
2009-10-23,265.40100099999995
2009-10-26,259.37399300000004
2009-10-27,257.746002
2009-10-28,250.186996
2009-10-29,259.975006
2009-10-30,248.858994
2009-11-02,250.669006
2009-11-03,251.847
2009-11-04,248.42900099999997
2009-11-05,254.309006
2009-11-06,253.38400299999998
2009-11-09,262.197998
2009-11-10,260.889008
2009-11-11,264.25100699999996
2009-11-12,259.673004
2009-11-13,259.548004
2009-11-16,262.681
2009-11-17,262.821014
2009-11-18,264.865997
2009-11-19,259.889008
2009-11-20,258.53799399999997
2009-11-23,262.022003
2009-11-24,260.194
2009-11-25,259.85699500000004
2009-11-27,252.981995
2009-11-30,259.420013
2009-12-01,260.134003
2009-12-02,260.240997
2009-12-03,255.227005
2009-12-04,259.73098799999997
2009-12-07,256.079987
2009-12-08,254.08799700000003
2009-12-09,255.024994
2009-12-10,254.753006
2009-12-11,256.506012
2009-12-14,258.56298799999996
2009-12-15,254.69299300000003
2009-12-16,256.32800299999997
2009-12-17,252.419006
2009-12-18,255.88000499999998
2009-12-21,259.06399500000003
2009-12-22,260.138
2009-12-23,259.72699
2009-12-24,261.778015
2009-12-28,261.165009
2009-12-29,260.170013
2009-12-30,260.197998
2009-12-31,258.792999
2010-01-04,263.112
2010-01-05,266.240997
2010-01-06,266.906006
2010-01-07,271.871002
2010-01-08,270.78799399999997
2010-01-11,270.868988
2010-01-12,267.006012
2010-01-13,270.264008
2010-01-14,271.807007
2010-01-15,267.048004
2010-01-19,270.34899900000005
2010-01-20,269.700989
2010-01-21,262.881012
2010-01-22,255.257004
2010-01-25,256.39801
2010-01-26,252.623001
2010-01-27,257.996002
2010-01-28,256.34201
2010-01-29,254.67599500000003
2010-02-01,258.32800299999997
2010-02-02,260.91598500000003
2010-02-03,257.43798799999996
2010-02-04,247.41200299999997
2010-02-05,250.141006
2010-02-08,245.347
2010-02-09,247.56799300000003
2010-02-10,249.43299900000002
2010-02-11,250.229004
2010-02-12,250.005997
2010-02-16,256.075012
2010-02-17,257.040009
2010-02-18,258.565002
2010-02-19,259.70401
2010-02-22,262.27600099999995
2010-02-23,258.04098500000003
2010-02-24,262.160004
2010-02-25,261.385986
2010-02-26,262.727997
2010-03-01,263.78799399999997
2010-03-02,264.673004
2010-03-03,264.363007
2010-03-04,266.511993
2010-03-05,271.85199
2010-03-08,272.75100699999996
2010-03-09,273.43399
2010-03-10,276.364014
2010-03-11,278.72601299999997
2010-03-12,277.846985
2010-03-15,277.584991
2010-03-16,281.100006
2010-03-17,284.244995
2010-03-18,283.014008
2010-03-19,280.929993
2010-03-22,282.640015
2010-03-23,284.554993
2010-03-24,284.96200600000003
2010-03-25,286.057007
2010-03-26,286.208008
2010-03-29,286.695007
2010-03-30,284.95401
2010-03-31,285.20901499999997
2010-04-01,287.667999
2010-04-05,290.70401
2010-04-06,293.97601299999997
2010-04-07,292.240997
2010-04-08,294.342987
2010-04-09,295.89099100000004
2010-04-12,296.95901499999997
2010-04-13,297.35900899999996
2010-04-14,304.600006
2010-04-15,302.980011
2010-04-16,292.847992
2010-04-19,295.49798599999997
2010-04-20,299.369995
2010-04-21,298.675995
2010-04-22,300.81399500000003
2010-04-23,302.365997
2010-04-26,297.64599599999997
2010-04-27,288.207001
2010-04-28,291.432007
2010-04-29,298.18899500000003
2010-04-30,291.03299
2010-05-03,295.865997
2010-05-04,287.987
2010-05-05,286.156006
2010-05-06,274.596985
2010-05-07,270.919006
2010-05-10,285.738007
2010-05-11,284.56399500000003
2010-05-12,288.178009
2010-05-13,283.960999
2010-05-14,275.697998
2010-05-17,275.575989
2010-05-18,267.997009
2010-05-19,268.199005
2010-05-20,255.901993
2010-05-21,264.431
2010-05-24,257.638
2010-05-25,259.261993
2010-05-26,258.049011
2010-05-27,269.16598500000003
2010-05-28,264.0
2010-06-01,258.26001
2010-06-02,265.510986
2010-06-03,264.545013
2010-06-04,253.96699500000003
2010-06-07,249.44299300000003
2010-06-08,253.79699700000003
2010-06-09,251.878006
2010-06-10,260.399994
2010-06-11,261.51800499999996
2010-06-14,260.028992
2010-06-15,266.52999900000003
2010-06-16,266.35699500000004
2010-06-17,265.884003
2010-06-18,266.954987
2010-06-21,266.39599599999997
2010-06-22,262.13198900000003
2010-06-23,261.227997
2010-06-24,255.955002
2010-06-25,262.26599100000004
2010-06-28,260.01001
2010-06-29,249.854004
2010-06-30,247.15600600000002
2010-07-01,245.46099900000002
2010-07-02,243.05200200000002
2010-07-06,243.673004
2010-07-07,254.33999599999999
2010-07-08,256.22699
2010-07-09,260.584991
2010-07-12,260.39801
2010-07-13,267.028992
2010-07-14,264.636993
2010-07-15,263.98999
2010-07-16,252.75
2010-07-19,253.03300499999997
2010-07-20,256.257996
2010-07-21,251.457001
2010-07-22,259.346985
2010-07-23,261.52999900000003
2010-07-26,266.014008
2010-07-27,266.317993
2010-07-28,263.713989
2010-07-29,264.042999
2010-07-30,263.993988
2010-08-02,270.274994
2010-08-03,267.304993
2010-08-04,268.117004
2010-08-05,266.721985
2010-08-06,264.96701
2010-08-09,267.088013
2010-08-10,264.31601
2010-08-11,255.11999500000002
2010-08-12,253.57899500000002
2010-08-13,252.61500499999997
